"","hex","split","n_photos"
"1","B10","train",307
"2","B12","train",337
"3","E11","val",305
"4","E13","train",125
"5","G25","train",634
"6","H12","train",764
"7","H21","train",587
"8","H24","train",507
"9","I10","train",793
"10","I14","train",142
"11","J13","train",247
"12","J21","train",255
"13","K15","train",614
"14","K19","train",252
"15","K26","train",1849
"16","L17","train",4198
"17","L21","train",1746
"18","L24","train",4844
"19","L24","val",1291
"20","M13","train",850
"21","M22","train",283
"22","M22","val",315
"23","M26","train",1223
"24","Malawi_tags.JPG","train",1
"25","Malawi_tags_(1).JPG","train",1
"26","N16","train",1037
"27","N16","val",661
"28","N19","train",505
"29","O12","train",574
"30","O14","train",341
"31","O21","val",721
"32","O24","train",1699
"33","O3","train",80
"34","O3","val",124
"35","O6","train",592
"36","P20","train",724
"37","P20","val",581
"38","P23","train",474
"39","P23","val",54
"40","P26","train",262
"41","Q10","train",70
"42","Q12","train",473
"43","Q15","train",1281
"44","Q15","val",207
"45","Q17","train",293
"46","Q21","train",1801
"47","Q21","val",407
"48","Q5","train",355
"49","Q7","train",204
"50","R14","train",734
"51","R14","val",1205
"52","R19","train",288
"53","R19","val",251
"54","R23","train",134
"55","R25","train",194
"56","R27","train",393
"57","R27","val",529
"58","R9","train",117
"59","S11","train",315
"60","S11","val",611
"61","T22","train",316
"62","T22","val",171
"63","T24","val",772
"64","T26","val",257
