"","site","split","n_photos"
"1","B10-A","train",50
"2","B10-B","train",202
"3","B10-C","train",55
"4","B12-A","train",305
"5","B12-B","train",32
"6","E11-A","val",300
"7","E11-B","val",5
"8","E13-A","train",81
"9","E13-B","train",44
"10","G25-A","train",449
"11","G25-B","train",37
"12","G25-C","train",148
"13","H12-A","train",33
"14","H12-B","train",390
"15","H12-C","train",341
"16","H21-B","train",364
"17","H21-C","train",223
"18","H24-A","train",98
"19","H24-B","train",91
"20","H24-C","train",318
"21","I10-A","train",306
"22","I10-B","train",173
"23","I10-C","train",314
"24","I14-A","train",89
"25","I14-B","train",20
"26","I14-C","train",33
"27","J13-A","train",145
"28","J13-B","train",71
"29","J13-C","train",31
"30","J21-B","train",255
"31","K15-B","train",402
"32","K15-C","train",212
"33","K19-B","train",144
"34","K19-C","train",108
"35","K26-A","train",1179
"36","K26-B","train",606
"37","K26-C","train",64
"38","L17-A","train",512
"39","L17-B","train",1573
"40","L17-C","train",2113
"41","L21-A","train",414
"42","L21-B","train",1010
"43","L21-C","train",322
"44","L24-A","train",202
"45","L24-A","val",92
"46","L24-B","train",440
"47","L24-B","val",206
"48","L24-C","train",4202
"49","L24-C","val",993
"50","M13-A","train",25
"51","M13-B","train",80
"52","M13-C","train",745
"53","M22-A","train",54
"54","M22-A","val",184
"55","M22-B","train",52
"56","M22-B","val",25
"57","M22-C","train",177
"58","M22-C","val",106
"59","M26-A","train",194
"60","M26-B","train",371
"61","M26-C","train",658
"62","Malawi_tags.JPG-NA","train",1
"63","Malawi_tags_(1).JPG-NA","train",1
"64","N16-A","train",687
"65","N16-A","val",397
"66","N16-B","train",69
"67","N16-C","train",281
"68","N16-C","val",264
"69","N19-A","train",86
"70","N19-B","train",283
"71","N19-C","train",136
"72","O12-A","train",323
"73","O12-B","train",13
"74","O12-C","train",238
"75","O14-A","train",75
"76","O14-B","train",20
"77","O14-C","train",246
"78","O21-A","val",182
"79","O21-B","val",444
"80","O21-C","val",95
"81","O24-A","train",575
"82","O24-B","train",1037
"83","O24-C","train",87
"84","O3-A","train",35
"85","O3-A","val",62
"86","O3-B","train",17
"87","O3-B_","val",30
"88","O3-C","train",28
"89","O3-C","val",32
"90","O6-A","train",471
"91","O6-B","train",119
"92","O6-C","train",2
"93","P20-A","train",24
"94","P20-A","val",10
"95","P20-B","train",404
"96","P20-B","val",196
"97","P20-C","train",296
"98","P20-C","val",375
"99","P23-B","train",290
"100","P23-B","val",54
"101","P23-C","train",164
"102","P23-C1","train",20
"103","P26-A","train",240
"104","P26-C","train",22
"105","Q10-A","train",29
"106","Q10-B","train",25
"107","Q10-C","train",16
"108","Q12-A","train",50
"109","Q12-B","train",128
"110","Q12-C","train",295
"111","Q15-A","train",541
"112","Q15-A","val",22
"113","Q15-B","train",92
"114","Q15-B","val",171
"115","Q15-C","train",648
"116","Q15-C","val",14
"117","Q17-A","train",136
"118","Q17-C","train",157
"119","Q21-A","train",350
"120","Q21-A","val",39
"121","Q21-B","train",234
"122","Q21-B","val",55
"123","Q21-C","train",1217
"124","Q21-C","val",313
"125","Q5-A","train",4
"126","Q5-B","train",328
"127","Q5-C","train",23
"128","Q7-A","train",25
"129","Q7-B","train",88
"130","Q7-C","train",91
"131","R14-A","train",109
"132","R14-A","val",536
"133","R14-B","train",98
"134","R14-B","val",230
"135","R14-C","train",527
"136","R14-C","val",439
"137","R19-A","train",104
"138","R19-A","val",68
"139","R19-B","train",105
"140","R19-B","val",110
"141","R19-C","train",79
"142","R19-C","val",73
"143","R23-A","train",14
"144","R23-B","train",61
"145","R23-C","train",59
"146","R25-B","train",167
"147","R25-C","train",27
"148","R27-A","train",162
"149","R27-A","val",208
"150","R27-B","train",126
"151","R27-B","val",57
"152","R27-C","train",105
"153","R27-C","val",264
"154","R9-A","train",72
"155","R9-B","train",45
"156","S11-A","train",15
"157","S11-A","val",119
"158","S11-B","train",246
"159","S11-B","val",355
"160","S11-C","train",54
"161","S11-C","val",137
"162","T22-B","train",316
"163","T22-B","val",5
"164","T22-C","val",166
"165","T24-A","val",281
"166","T24-B","val",305
"167","T24-C","val",186
"168","T26-B","val",144
"169","T26-C","val",113
