"","species","split","number_images","unique_hexagons","unique_sites"
"1","aardvark","train",279,18,26
"2","aardvark","val",26,7,8
"3","baboon","train",7555,16,37
"4","baboon","val",2366,14,37
"5","bat_sp.","train",1,1,1
"6","blue_monkey","train",4,1,1
"7","blue_monkey","val",4,2,2
"8","buffalo","train",261,16,17
"9","buffalo","val",124,4,6
"10","bush_squirrel","train",38,2,2
"11","bushbaby","train",190,15,17
"12","bushbaby","val",5,3,3
"13","bushbuck","train",6002,39,78
"14","bushbuck","val",572,11,18
"15","bushpig","train",3704,44,92
"16","bushpig","val",316,16,31
"17","civet","train",325,31,47
"18","civet","val",35,9,11
"19","dog","train",12,2,2
"20","dog","val",2,1,2
"21","domestic_cattle","train",24,1,1
"22","domestic_dog","train",20,4,5
"23","eland","train",100,9,11
"24","eland","val",6,2,2
"25","elephant","train",2211,30,57
"26","elephant","val",812,14,28
"27","empty","train",968,45,103
"28","empty","val",347,17,37
"29","genet","train",189,18,27
"30","genet","val",19,3,5
"31","goat","train",3,1,1
"32","ground_hornbill","train",146,18,28
"33","ground_hornbill","val",35,11,13
"34","guinea_fowl","train",47,10,11
"35","guinea_fowl","val",3,3,3
"36","honey_badger","train",45,13,15
"37","honey_badger","val",4,3,3
"38","human","train",946,43,101
"39","human","val",383,17,44
"40","hyena","train",41,7,9
"41","hyena","val",12,1,1
"42","impala","train",13,3,3
"43","impala","val",3,2,2
"44","jackal","train",5,3,3
"45","kudu","train",1161,19,32
"46","kudu","val",440,12,25
"47","leopard","train",77,8,8
"48","leopard","val",9,1,1
"49","mongoose","train",185,16,18
"50","mongoose","val",6,1,1
"51","other_animal","val",298,14,34
"52","other_bird","val",16,9,11
"53","porcupine","train",331,25,37
"54","porcupine","val",67,10,15
"55","reedbuck","train",657,28,44
"56","reedbuck","val",284,14,19
"57","roan","train",20,6,7
"58","roan","val",3,2,2
"59","sable","train",1138,22,45
"60","sable","val",441,11,19
"61","scrub_hare","train",25,7,7
"62","serval","train",49,9,11
"63","side-striped_jackal","train",4,2,2
"64","small_antelope","train",4114,45,106
"65","small_antelope","val",1303,17,39
"66","vervet_monkey","train",489,8,11
"67","vervet_monkey","val",23,2,2
"68","warthog","train",906,29,61
"69","warthog","val",192,12,21
"70","waterbuck","train",1429,20,40
"71","waterbuck","val",302,11,19
"72","zebra","train",101,6,8
"73","zebra","val",4,3,4
